type	source	target	count	weight	count/weight
A	NetStim[0]	TCR	10750	86167.24	8.016
A	NetStim[0]	nRT	4400	26407.674	6.002
A	TCR	Spinstel4	8640	86022.775	9.956
N	TCR	Spinstel4	9120	30390.218	3.332
A	TCR	nRT	3500	14012.544	4.004
N	TCR	nRT	3500	4657.62	1.331
G	nRT	TCR	12250	49015.123	4.001
G	nRT	nRT	4300	17199.775	4.0
A	SyppyrFRB	Bask23	4140	1909.773	0.461
N	SyppyrFRB	Bask23	3240	500.879	0.155
A	SyppyrFRB	SyppyrFRB	2150	13455.661	6.258
N	SyppyrFRB	SyppyrFRB	1800	3728.494	2.071
A	SyppyrFRB	SyppyrRS	19500	121819.541	6.247
N	SyppyrFRB	SyppyrRS	19000	39512.907	2.08
A	SyppyrFRB	Axax23	4320	1386.013	0.321
N	SyppyrFRB	Axax23	3240	351.564	0.109
A	SyppyrFRB	TuftRS5	9000	79979.913	8.887
N	SyppyrFRB	TuftRS5	10000	29635.09	2.964
A	SyppyrFRB	NontuftRS6	12500	37072.304	2.966
N	SyppyrFRB	NontuftRS6	9500	9432.552	0.993
A	SyppyrFRB	Bask56	4200	4673.741	1.113
N	SyppyrFRB	Bask56	3500	1294.818	0.37
A	SyppyrFRB	TuftIB5	12000	35466.733	2.956
N	SyppyrFRB	TuftIB5	10500	10369.645	0.988
A	SyppyrFRB	LTS56	4100	2215.677	0.54
A	SyppyrFRB	Axax56	4600	1389.883	0.302
N	SyppyrFRB	Axax56	3700	369.265	0.1
A	SyppyrFRB	LTS23	4230	4645.625	1.098
N	SyppyrFRB	LTS23	3240	1171.804	0.362
N	SyppyrFRB	Spinstel4	8880	5755.975	0.648
A	SyppyrRS	LTS23	3780	4166.662	1.102
N	SyppyrRS	LTS23	3870	1394.216	0.36
A	SyppyrRS	Bask23	4320	1965.901	0.455
N	SyppyrRS	Bask23	4230	645.67	0.153
A	SyppyrRS	Axax23	3420	542.488	0.159
N	SyppyrRS	Axax23	4410	238.981	0.054
A	SyppyrRS	SyppyrFRB	2050	12926.334	6.306
N	SyppyrRS	SyppyrFRB	2450	5125.549	2.092
A	SyppyrRS	TuftIB5	11000	108641.719	9.877
N	SyppyrRS	TuftIB5	10500	34684.735	3.303
A	SyppyrRS	LTS56	4000	4243.008	1.061
N	SyppyrRS	LTS56	4000	1413.267	0.353
A	SyppyrRS	Axax56	4800	1435.66	0.299
N	SyppyrRS	Axax56	4700	470.99	0.1
A	SyppyrRS	SyppyrRS	18500	346780.12	18.745
N	SyppyrRS	SyppyrRS	18000	112295.894	6.239
A	SyppyrRS	TuftRS5	7400	65780.358	8.889
N	SyppyrRS	TuftRS5	7400	21975.06	2.97
